MariaDB 1 entry,Try 1 indexed,Try 2 indexed,Try 3 indexed,Avrage indexed,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Query 1,"0,016","0,023","0,018","0,019","0,69","0,75","0,45","0,71","0,58","0,39","0,49","0,58","0,56","0,49",,,,,,,,,,,,
Query 2,"0,016","0,018","0,018","0,017","0,75","0,53","0,6","0,63","0,59","0,75","0,61","0,77","0,76","0,62",,,,,,,,,,,,
Query 3,"0,018","0,019","0,017","0,018","0,75","0,81","0,77","0,76","0,61","0,72","0,59","0,8","0,72","0,85",,,,,,,,,,,,
Query 4,"0,021","0,018","0,017","0,019","0,62","0,88","0,7","0,68","0,67","0,59","0,61","0,73","0,63","0,65",,,,,,,,,,,,
Query 5,"0,019","0,027","0,034","0,027","0,72","0,86","0,84","1,04","0,79","0,82","0,88","0,95","1,03","1,01",,,,,,,,,,,,
Query 6,"0,016","0,019","0,019","0,018","0,56","0,61","0,65","0,83","0,7","0,61","0,67","0,57","0,64","0,6",,,,,,,,,,,,
Query 7,"0,023","0,023","0,021","0,022","0,31","0,6","0,68","0,68","0,68","0,63","0,65","0,62","0,66","0,68",,,,,,,,,,,,
,q1,q2,q3,q4,q5,q6,q7,,,,,,,,,,,,,,,,,,,
,"0,412","0,477","0,532","0,488","0,646","0,465","0,449",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
MariaDB 1000 entries,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Query 1,"2,98","3,19","2,88","3,18","2,76","3,44","3,53","3,37","3,18","4,07","4,13","2,93","3,76","4,22","2,99","3,94","3,28","4,15","3,59","3,76","3,64","4,02","3,39","3,17","3,31","3,89"
Query 2,,"9,22","8,35","7,65","8,3","8,7","9,4","7,26","8,06","6,77","9,97","8,59","8,55","8,01",8,"7,25","7,52","7,35","7,68","8,03","9,15","8,62","9,02","9,67","4,61","7,97"
Query 3,"8,13","7,1","8,81","7,71","8,83",10,"7,83","8,82","8,29","7,68","9,19","7,33","7,1","8,14","8,54","9,52","8,31","8,15","7,84","7,36","4,63","7,88","8,98","8,7","8,82","8,09"
Query 4,"5,83","5,32","6,42","5,4","6,55","8,09","6,15","6,34","5,55","6,09","6,22","6,22","6,62","6,83","6,06","5,16","5,55","6,45","6,85","6,41","7,11","5,04","5,8","6,71","5,61","4,95"
Query 5,"0,89","1,16","0,96","1,11","0,89","1,14","0,95","0,71","0,98","0,81","0,83","0,99","1,05","0,95","0,76","0,86","1,06","0,91","0,78","1,06","0,89","0,94","0,89","1,15","0,92","0,96"
Query 6,"0,72","0,92","1,06","0,97","1,35","1,12","1,24","1,26","1,01","0,89","0,89","1,05","1,16","0,89","0,94","1,11","0,84","0,81","0,99","0,8","0,92","0,87","0,81","1,08","0,97","0,98"
Query 7,"2,04","0,69","0,82","0,59","0,69","0,7","0,95","0,9","0,69","0,72","0,67","0,74","0,78","0,55","0,58","0,65","0,67","0,74","0,63","0,7","0,75","0,78","0,79","0,81","0,62",
,,,,,,,,,,,,,,,,,,,,,,,,,,
,"3,401","8,372","8,211","6,259","0,959","1,038","0,824",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
MariaDB 10000 enteries,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
