,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MariaDB 1 entry,Try 1 indexed,Try 2 indexed,Try 3 indexed,Avrage indexed,,,,,,,,,,,,,,,,,,,,,,,,,
Query 1,"0,016","0,023","0,018","0,019","0,02","0,015",00.19,"0,023","0,022","0,018","0,018","0,014","0,018",,,,,,,,,,,,,,,,
Query 2,"0,016","0,018","0,018","0,017","0,02","0,018","0,017","0,018","0,02",00.18,00.20,"0,022","0,019","0,019",,,,,,,,,,,,,,,
Query 3,"0,018","0,019","0,017","0,018","0,021","0,016","0,019","0,016",00.16,"0,02","0,017","0,021","0,021","0,017",,,,,,,,,,,,,,,
Query 4,"0,021","0,018","0,017","0,019","0,017","0,02","0,019","0,018","0,02","0,018","0,02","0,022","0,02","0,018",,,,,,,,,,,,,,,
Query 5,"0,019","0,027","0,034","0,027",00.20,00.20,00.17,00.19,00.19,"0,023",00.21,00.19,"0,019",00.20,,,,,,,,,,,,,,,
Query 6,"0,016","0,019","0,019","0,018",00.15,"0,016","0,02",00.20,00.19,00.19,"0,021",00.17,"0,021","0,019",,,,,,,,,,,,,,,
Query 7,"0,014","0,016","0,018","0,016","0,023",00.15,00.19,"0,019","0,017","0,019","0,02","0,013","0,02","0,02",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"0,018","0,018","0,018","0,019","0,018","0,017","0,017",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MariaDB 1000 entries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Query 1,"0,018","0,019","0,02","0,02","0,02","0,02","0,021","0,019","0,023","0,024","0,025","0,02","0,022","0,019","0,019","0,024","0,023","0,025","0,021","0,02","0,02","0,025","0,02","0,021","0,023","0,019",,,
Query 2,"0,036","0,037","0,034","0,034","0,033","0,036","0,035","0,037","0,039","0,038","0,034","0,036","0,034","0,039","0,037","0,037","0,038","0,035","0,035","0,034","0,033","0,035","0,036","0,035","0,038","0,036",,,
Query 3,"0,035","0,034","0,035","0,037","0,03","0,035","0,032","0,035","0,033","0,028","0,033","0,029","0,033","0,035","0,031","0,032","0,036","0,033","0,035","0,034","0,032","0,031","0,034","0,03","0,033","0,03",,,
Query 4,"0,028",,"0,026","0,031","0,029","0,03","0,031","0,029","0,029","0,029","0,028","0,029","0,028","0,032","0,027","0,03","0,029","0,027","0,03","0,03","0,028","0,031","0,038","0,03","0,028","0,029",,,
Query 5,"0,019","0,018","0,021","0,019","0,02","0,02","0,022","0,017","0,017","0,022","0,018","0,019","0,019","0,022","0,023","0,022","0,021","0,019","0,021",00.21,"0,023","0,017","0,017","0,019","0,022","0,018",,,
Query 6,"0,02",00.21,"0,019","0,022","0,02","0,019","0,022","0,021","0,016","0,022","0,019","0,019","0,021","0,022","0,018","0,023","0,017","0,023","0,021","0,022","0,017","0,022","0,021","0,019","0,02","0,019",,,
Query 7,"0,017",00.16,"0,015","0,017","0,019","0,013","0,015","0,014","0,017","0,016","0,02","0,022","0,019","0,016","0,015","0,013","0,021","0,02","0,018","0,016","0,022","0,022","0,019","0,021","0,016",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"0,021","0,036","0,033","0,029","0,02","0,02","0,017",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MariaDB 10000 enteries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Query 1,"0,028","0,027","0,026","0,028","0,029","0,029","0,028","0,028","0,026","0,028",,,,,,,,,,,,,,,,,,,
